x,y
0.0,0.5
0.05263157894736843,0.6629061416684668
0.10526315789473686,0.8081588751379243
0.15789473684210528,0.9200178129085768
0.21052631578947373,0.9863613034027223
0.26315789473684215,1.0
0.31578947368421056,0.9594559382979124
0.3684210526315791,0.8691226964878168
0.4210526315789473,0.7387892829845026
0.47368421052631576,0.5825793454723324
0.5263157894736843,0.41742065452766774
0.5789473684210528,0.26121071701549736
0.6315789473684211,0.13087730351218335
0.6842105263157896,0.04054406170208785
0.7368421052631582,0.0
0.7894736842105264,0.013638696597277566
0.8421052631578949,0.07998218709142324
0.8947368421052633,0.19184112486207566
0.9473684210526315,0.33709385833153305
1.0,0.4999999999999999
